date,bonus
1997Q1,0.71
1997Q2,0.63
1997Q3,0.85
1997Q4,0.44
1998Q1,0.61
1998Q2,0.69
1998Q3,0.92
1998Q4,0.55
1999Q1,0.72
1999Q2,0.77
1999Q3,0.92
1999Q4,0.6
2000Q1,0.83
2000Q2,0.8
2000Q3,1
2000Q4,0.77
2001Q1,0.92
2001Q2,1
2001Q3,1.24
2001Q4,1
2002Q1,1.16
2002Q2,1.3
2002Q3,1.45
2002Q4,1.25
2003Q1,1.26
2003Q2,1.38
2003Q3,1.86
2003Q4,1.56
2004Q1,1.53
2004Q2,1.59
2004Q3,1.83
2004Q4,1.86
2005Q1,1.53
2005Q2,2.07
2005Q3,2.34
2005Q4,2.25
2006Q1,2.16
2006Q2,2.43
2006Q3,2.7
2006Q4,2.25
2007Q1,2.79
2007Q2,3.42
2007Q3,3.69
2007Q4,3.6
2008Q1,3.6
2008Q2,4.32
2008Q3,4.32
2008Q4,4.05
2009Q1,4.86
2009Q2,5.04
2009Q3,5.04
2009Q4,4.41
2010Q1,5.58
2010Q2,5.85
2010Q3,6.57
2010Q4,5.31
2011Q1,6.03
2011Q2,6.39
2011Q3,6.93
2011Q4,5.85
2012Q1,6.93
2012Q2,7.74
2012Q3,7.83
2012Q4,6.12
2013Q1,7.74
2013Q2,8.91
2013Q3,8.28
2013Q4,6.84
2014Q1,9.54
2014Q2,10.26
2014Q3,9.54
2014Q4,8.73
2015Q1,11.88
2015Q2,12.06
2015Q3,12.15
2015Q4,8.91
2016Q1,14.04
2016Q2,12.96
2016Q3,14.85
2016Q4,9.99
2017Q1,16.2
2017Q2,14.67
2017Q3,16.02
2017Q4,11.61
